host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified
1838,Joel,2017/8/19,"New York, NY",,,0.22 ,0.42 ,f,Midtown,1,1,"['email', 'phone']",t,t
1839,Abdiaziz,2018/10/18,"New York, NY",,within an hour,0.91 ,0.98 ,f,,2,11,"['email', 'phone']",t,t
1840,Trevis,2021/4/6,,,within a few hours,0.97 ,0.97 ,f,East Flatbush,3,3,['phone'],t,f
1841,Mackenzie,2018/3/8,,,,0.17 ,0.65 ,f,Bushwick,1,1,"['email', 'phone']",t,t
1842,Elizabeth,2014/1/31,"New York, NY","I have been living in New York for the past two years, but have lived and traveled the world and love to use Airbnb!",,0.41 ,0.96 ,f,Chelsea,1,1,"['email', 'phone']",t,t
1843,Aamer,2018/2/4,"New York, NY",,within a few hours,0.91 ,0.98 ,f,Midtown,26,32,"['email', 'phone', 'work_email']",t,t
1844,Richard,2012/6/16,"New York, NY",I love to travel and meet people. ,within a few hours,1.00 ,0.86 ,f,,41,119,"['email', 'phone', 'work_email']",t,t
1845,Tamarka,2020/3/10,"Redford Charter Township, MI",FINANCE QUEEN BNB VACATION RENTALS,a few days or more,0.10 ,0.10 ,f,Westgate,24,35,"['email', 'phone']",t,t
1846,Esther,2018/1/28,"New York, United States",Easygoing Happy,,0.36 ,0.72 ,f,Midtown,1,1,"['email', 'phone']",t,t
1847,Shanna,2014/12/6,"New York, NY","I'm a grad student in the hospitality industry (shhh don't tell anyone). I enjoy traveling, water sports and reading all measure of fictional tales. ",,0.66 ,0.04 ,f,Bushwick,1,1,"['email', 'phone']",t,t
1848,Fatou,2020/12/27,,,a few days or more,0.00 ,1.00 ,f,,1,1,['phone'],t,f
1849,Carina,2011/11/18,"Melbourne, Australia",,,0.64 ,0.80 ,f,Greenpoint,1,3,"['email', 'phone']",t,t
1850,Address In NYC,2021/8/10,"New York, NY",,within an hour,1.00 ,1.00 ,f,,5,8,"['email', 'phone']",t,t
1851,Hila,2016/8/25,"New York, NY",,within an hour,1.00 ,0.88 ,f,,12,15,"['email', 'phone']",t,t
1852,Kallie,2014/7/31,"New York, NY","I am a freelance classical musician and have loved living in Brooklyn since 2010.  My days are filled with music, but in my spare time I loved to ride my bike, go to the farmer's market, and eat delicious food.",,0.98 ,0.84 ,f,Lefferts Garden,2,2,"['email', 'phone']",t,t
1853,Gedan,2017/7/21,"New York, NY","I enjoy meeting new people and familiarizing myself with other cultures. This is, essentially, why I've decided to become a full-time Airbnb host.",within an hour,1.00 ,0.80 ,f,Jamaica,7,7,"['email', 'phone', 'work_email']",t,t
1854,Shauna,2015/9/29,"New York, NY",,within an hour,1.00 ,0.99 ,f,Flushing,5,5,"['email', 'phone']",t,t
1855,Sasha,2013/2/27,"Los Angeles, CA","Professor at Cal State LA, ecologist, mom",,0.10 ,0.98 ,f,Vinegar Hill,1,1,"['email', 'phone']",t,t
1856,Ken,2014/10/14,"New York, NY","I work for Furnished Quarters, the largest provider of furnished apartments in the Northeast. My family started this business over 20 years ago and we welcome the opportunity to host you in our apartments. 

Guests can expect a comfortable, fully furnished and equipped private apartment, plenty of helpful neighborhood information and 24-hour access to our team. We consider ourselves first and foremost a hospitality company and we are here to provide a worry-free stay that enables you to enjoy the city and feel like a local from the moment you arrive.  ",within a few hours,0.94 ,1.00 ,f,Upper East Side,222,954,"['email', 'phone', 'work_email']",t,t
1857,Angela,2016/6/11,"New York, NY","Hello everyone, my name is Angela, I lived in Brooklyn Bay Ridge, NY  .I can speak English and Chinese . I like to share my space and make friends from all over the world. I hope you have a wonderful stay in NYC!looking forward to your stay!",within an hour,1.00 ,0.99 ,t,Bay Ridge,5,13,"['email', 'phone']",t,t
1858,Paradise Suites,2019/7/24,"New York, NY",Love to host!,within an hour,0.98 ,0.39 ,f,Upper East Side,20,37,"['email', 'phone']",t,t
1859,Joel,2019/9/20,"New York, NY","Anchor Inn, Quiet and Clean Hotel Rooms,  Free Parking, Free Breakfast, Best Location to explore Long Island and Queens, 20 minutes to Midtown Manhattan, Walking distance to LIRR train station,  Close to Flushing Downtown,  China Town, Korea Town. Mets City Filed, US Open Tennis Center, Clearview Golf Course,  US Merchant Marine Academy, JFK Airport, Laguardia Airport, Easy access to Highway, various restaurants and bars within walking distance. ",within an hour,1.00 ,0.41 ,f,Bayside,24,24,"['email', 'phone']",t,t
1860,Amanda,2013/8/19,"New York, NY",,,0.85 ,0.62 ,f,Williamsburg,1,4,"['email', 'phone']",t,t
1861,Karin,2014/9/15,"New York, NY",,,0.43 ,0.29 ,f,Midtown,1,1,"['email', 'phone']",t,t
1862,Debra,2021/8/15,"New York, NY",I am Debra,within an hour,1.00 ,1.00 ,t,East Flatbush,2,2,"['email', 'phone']",t,t
1863,Ilana,2014/10/15,"New York, NY",Hello! ,,0.14 ,0.18 ,f,Prospect Heights,1,1,"['email', 'phone']",t,t
1864,Naief,2016/5/24,"New York, NY",,,0.44 ,0.85 ,f,Williamsburg,1,1,"['email', 'phone']",t,f
1865,Shogo,2018/7/5,"New York, United States",,within a few hours,0.99 ,0.86 ,f,Elmhurst,215,222,"['email', 'phone']",t,t
1866,Kamerin,2016/6/20,"New York, NY",,,0.80 ,0.81 ,f,Midtown,1,3,"['email', 'phone']",t,t
1867,Devon,2013/11/13,"New York, NY","I am from Northern California, but have lived on the East Coast for a few years now. I like traveling, both for work and pleasure, exploring the neighborhoods of NYC, cooking exotic foods, and working out. ",,0.61 ,1.00 ,f,Williamsburg,1,2,"['email', 'phone', 'work_email']",t,t
1868,Jose,2015/10/11,"New York, NY","I'm a 30 year old graphic designer from Bogota based in Brooklyn. Besides design and arts, I also really love listening music and playing drums.
 (Website hidden by Airbnb)",,0.21 ,0.46 ,f,Bedford-Stuyvesant,1,1,"['email', 'phone']",t,t
1869,Edwin,2020/11/5,,,within an hour,1.00 ,1.00 ,f,East Bronx,11,11,"['email', 'phone']",t,t
1870,Christine,2014/1/8,,,,0.51 ,0.54 ,f,Upper West Side,1,1,"['email', 'phone']",t,f
1871,Nathaly,2019/5/28,"New York, United States",,within a day,0.71 ,0.97 ,f,Ocean Hill,1,1,"['email', 'phone']",t,t
1872,Katherine,2011/10/6,"New York, NY",,,0.71 ,0.11 ,f,Midtown,1,1,"['email', 'phone', 'work_email']",t,t
1873,Yogini,2014/3/2,"New York, NY","I'm a workaholic who loves (in no particular order) traveling, gin, elephants, frenchies, plants, art, meeting new people, great food and shoes. 

New York is home after a few (long) stints in Boston, Singapore & Sri Lanka. I love exploring wherever I am.",within a few hours,1.00 ,0.63 ,f,,2,4,"['email', 'phone']",t,f
1874,Laura,2013/10/15,"New York, NY","Designer, mother, tacos, sewing, sunsets, Beethoven, Bach. Margarita. Just one.",,0.97 ,1.00 ,f,Crown Heights,1,1,"['email', 'phone']",t,t
1875,Eugene,2012/8/11,"New York, NY","my number: (Phone number hidden by Airbnb) , my email: (Email hidden by Airbnb)",within a day,0.96 ,0.05 ,t,Flatbush,290,435,"['email', 'phone']",t,t
1876,Alinca,2020/10/31,,,within a few hours,1.00 ,0.86 ,f,Long Island City,3,4,"['email', 'phone']",t,t
1877,Janet & Mark,2011/3/26,"New York, NY","Hi, we live in Sunset Park in Brooklyn. It is great neighborhood. Very close to a lovely park which has spectacular views of the city, it has great Mexican food and very close to public transportation.",,0.84 ,0.02 ,f,Sunset Park,1,1,"['email', 'phone']",t,t
1878,Nina,2015/12/3,"New York, NY",,within a day,1.00 ,0.91 ,f,Fort Greene,1,1,"['email', 'phone']",t,t
1879,Jenny,2016/7/6,"New York, NY",We love to travel and want to help you enjoy your visit to NYC. We respond quickly to your text messages questions whilst staying with us. Let our home be yours for the duration of your stay. ,within an hour,1.00 ,0.97 ,f,Bedford-Stuyvesant,2,2,"['email', 'phone']",t,t
1880,Jan,2015/4/1,"New York, NY","I'm a digital media thought leader based in New York City. I use AirBnB in place of hotels for longer leisure and business trips, and love sharing my space with likeminded travelers. I love food, wine, cooking, and curated spaces, so my home and style of hosting are both reflective of that. ",within a few hours,0.92 ,0.61 ,f,Williamsburg,1,2,"['email', 'phone', 'work_email']",t,t
1881,Jacob,2014/10/1,"New York, NY",,within an hour,1.00 ,0.44 ,f,,2,2,['phone'],t,t
1882,Tae,2017/5/31,"New York, NY","Hi. I am Tae and I have been living in Manhattan, New York for 6 wonderful years now. I travel for work occasionally, and I also love to visit and explore someplace new around the world at my leisure. Please come stay at my cozy apartments in the very heart of New York city when you get a chance. Don't be a stranger! :-)",within a few hours,1.00 ,0.92 ,f,,1,7,"['email', 'phone']",t,t
1883,Sincere,2020/1/14,"New York, NY","鎴戞槸鐪熻瘹,瀹楁棬鏄湡璇氬湴涓烘偍鎻愪緵浼樿川鐨勬皯瀹?,within an hour,93%,75%,f,https://a0.muscache.com/im/pictures/user/61cd0820-a300-43a6-87d8-4ea69a1376b3.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/61cd0820-a300-43a6-87d8-4ea69a1376b3.jpg?aki_policy=profile_x_medium,Flushing,5.0,8.0,['phone'],t,f,,Flushing,Queens,40.76496,-73.83085,Private room in home,Private room,2,,1 shared bath,1.0,1.0,[""""Hair dryer"""""," """"First aid kit""""",0.09 ,0.62 ,t,Midtown," """"Shampoo""""",4," """"Fire extinguisher""""",t,t
1884,Miriam,2015/6/27,"New York, NY",,within a few hours,1.00 ,0.96 ,t,Fort Greene,1,2,"['email', 'phone']",t,t
1885,Edmee Marie,2018/4/30,"Mayag眉ez, Puerto Rico","Love to travel, explore new places, cities. ",within a few hours,0.94 ,1.00 ,f,Williamsburg,7,7,"['email', 'phone', 'work_email']",t,t
1886,Sam,2018/9/13,,,within a day,0.67 ,1.00 ,f,Upper West Side,1,1,['phone'],t,t
1887,Meg,2015/4/6,"Pittsburgh, PA","Traveler, terrible cook, trivia lover",,0.09 ,0.30 ,f,Midtown,1,1,"['email', 'phone', 'work_email']",t,t
1888,Cruz,2021/10/17,"New York, NY",,within an hour,1.00 ,0.83 ,f,,2,2,"['email', 'phone']",t,t
1889,Anyika,2022/5/19,,My name is Anyika ,within an hour,1.00 ,0.83 ,f,Canarsie,1,4,"['email', 'phone']",t,t
1890,Makram,2016/5/4,,,,0.34 ,0.27 ,f,Ditmars / Steinway,1,1,['phone'],t,f
1891,Alexa,2017/8/22,"Fort Lee, NJ",I am a very easy going friendly person .  Open to communication 24/7,within an hour,1.00 ,1.00 ,f,,2,3,"['email', 'phone']",t,t
1892,Jessie,2011/11/11,"New York, NY","I am a native New Yorker living with my partner in Kips Bay. Come enjoy our space, we can't wait to meet you! ",,0.44 ,0.03 ,f,Kips Bay,1,2,"['email', 'phone']",t,t
1893,Jeniffer,2015/12/16,"New York, NY",,a few days or more,0.43 ,0.45 ,f,Hell's Kitchen,110,213,"['email', 'phone', 'work_email']",t,t
1894,Koichi,2021/6/24,"New York, NY","Hello, everyone!
My name is Koichi from Japan this year.
Although I can't get to meet you in person at check-in, I'd like to be friends with you.
I'd like to take your feedback to make your stay more comfortable.
Please feel free to invite me to dinner if you like.
I just came to New York, so I don't have a lot of recommendations for places to eat.
So let's discover the charm of New York together!
Thank you so much!",within an hour,0.93 ,1.00 ,f,,17,17,"['email', 'phone']",t,t
1895,Rani,2013/11/10,"North Babylon, NY","
",within a day,0.80 ,0.79 ,f,Bedford-Stuyvesant,3,6,"['email', 'phone']",t,f
1896,Zeus,2015/11/2,"San Francisco, CA","We built Zeus Living so you can feel at home wherever opportunity takes you. Whether it鈥檚 for a month, a year, or sometime in between, you can count on a thoughtfully designed home and a comfortable, easy stay. Our technology helps us select homes you鈥檒l love in ideal locations at a good value, while our expert team handles all the details. Based in San Francisco, and operating in the Bay Area, Los Angeles, New York City, Seattle, Boston, and Washington, D.C.


** 
PLEASE NOTE: Many of our homes are pet friendly, which you will see listed under ""House Rules"". If you do plan to bring your furry friend(s), we have a one-time non-refundable $500 pet fee and have a limit of 2 pets max. We have several dog breed restrictions. Most of our dog-friendly homes do not allow American Pit bulls, Rottweilers, Akitas, Cane Corsos, Presa Canarios, Bull Mastiffs, Staffordshire Terriers, Dobermans, German Shepherds, Boxers, Malamutes, Huskies, Dalmatians, Chow Chows, Fila Brasileiros, or Wolf hybrids. We encourage individuals with service animals or one of the breeds listed as restricted to contact us before booking.

Zeus tenant screening involves ID verification, a soft credit check (will not impact your credit score), and a background check. We will decline residents who provide fraudulent identification, have a credit score below 650, and/or have a history of eviction. In accordance with local regulation, criminal history may be taken into consideration in approving or declining a reservation. For residents without US credit history, Zeus may ask for additional documentation to demonstrate proof of finance.",within an hour,1.00 ,0.97 ,f,Sunnyvale,1475,1887,"['email', 'phone', 'work_email']",t,t
1897,David,2012/8/29,"Westfield, NJ","After moving all around the city for a year, subletting in 5 neighborhoods, I ended up in the East Village.  It's by far my favorite neighborhood in the city.  I love to go out to eat and drink around here.  

I enjoy travelling, I'm hoping to make it out to Asia later this year.  Also, taking a yoga teacher training this year.  ",,0.59 ,0.31 ,f,East Village,2,3,"['email', 'phone']",t,t
1898,Maximilian,2014/5/12,"New York, NY",,within a day,0.83 ,0.20 ,f,,3,4,"['email', 'phone', 'work_email']",t,t
1899,Tito,2016/6/9,"New York, NY",,within a few hours,1.00 ,1.00 ,f,Foxhurst,1,1,"['email', 'phone']",t,t
1900,Arielle,2015/1/15,"New York, NY",,within a few hours,1.00 ,1.00 ,f,,1,1,"['email', 'phone']",t,t
1901,Kristin,2017/1/16,"Essex, MD", ,,0.82 ,0.57 ,f,Tribeca,1,4,"['email', 'phone']",t,t
1902,Usquire,2013/4/2,,"My name is Ana, I am the founder of USQUIRE a short-term rental property management company that specializes in all in one Property Management, Co-hosting, and Cleaning Services. My main goal is to ensure that your stay surpasses your expectation no matter what! and we aim to provide personal & professional experiences to all of our guest. 

- I look forward to hosting you at one of our spaces during your time of travels.",within a few hours,0.94 ,0.83 ,f,Mid-Beach,9,13,"['email', 'phone']",t,t
1903,Danielle,2014/4/18,"Cape Town, South Africa",,a few days or more,0.00 ,0.54 ,f,Hudson Square,1,1,"['email', 'phone']",t,t
1904,Stay And Smile,2021/3/23,"New York, NY","Stay & Smile is a company that was founded in 2019, and the company鈥檚 main goal is to provide short term stylish accommodations to our guest(s).
We have many options to choose from such as; shared rooms, private rooms or rental of the entire property.",within an hour,1.00 ,1.00 ,f,,19,21,"['email', 'phone']",t,t
1905,Arnell,2014/11/24,"New York, NY",Long term East Village resident.,,0.10 ,0.21 ,f,East Village,1,1,"['email', 'phone']",t,t
1906,Marc,2014/5/29,"New York, NY",I studied at Columbia University. Definitely recommend the place to anyone going there. I am very laid back and easy going,,0.67 ,0.27 ,f,Washington Heights,1,1,"['email', 'phone', 'work_email']",t,t
1907,Fazia,2017/9/13,"New York, United States",,within an hour,1.00 ,0.99 ,t,Hunts Point,5,5,"['email', 'phone']",t,t
1908,Kevin,2016/4/13,"New York, NY",,within an hour,1.00 ,0.99 ,f,,2,2,"['email', 'phone']",t,t
1909,Oliver,2016/1/27,"New York, NY","Originally from Stockholm, Sweden but now residing in NYC and Tokyo. I travel around the world. I'm working on my 2rd company right now.
Previously exited the famous (Website hidden by Airbnb)",,0.74 ,0.70 ,f,Lower East Side,1,3,"['email', 'phone', 'work_email']",t,t
1910,The Local Stay,2014/11/15,"New York, NY","The Local Stay, founded in 2008 and offers hundreds of short-term and long-term rental properties in Amsterdam, Barcelona, Buenos Aires, London, New York, New-Jersey, Paris, Rome, Tel Aviv and more. Our apartments inventory includes both corporate apartments and privately owned flats, making The Local Stay the perfect option for business travelers, corporate relocation clients and those on sabbatical, as well as foreign students.
The Local Stay makes the process of renting furnished short- and long-term apartments absolutely transparent, so renters and property owners alike can rest easy.
At The Local Stay, our goal is to take the guess work out of it, carefully curating apartments so that travelers experience the true pulse of the city. And, since each property owner is personally vetted by The Local Stay team, travelers can rest assured that their stays will be safe and secure. Better vetting means that travelers get the most exclusive apartments in the most central locations, while greater involvement by The Local Stay means that property owners can list it and leave it as we handle communication with renters
With options for everyone, The Local Stay provides personalized service so that every traveler can stay like a local.",within an hour,1.00 ,0.69 ,f,Upper East Side,59,67,"['email', 'phone']",t,t
1911,Hiroki,2014/8/1,United States,,within a few hours,0.99 ,0.92 ,f,Elmhurst,243,260,['phone'],t,t
1912,Stanley,2017/3/14,"New York, NY","Reservations Manager, Murray Hill East Suites",within a few hours,0.94 ,0.79 ,f,Murray Hill,83,86,"['email', 'phone', 'work_email']",t,t
1913,Millennium Broadway,2021/8/6,"New York, NY","Set in the heart of Times Square, Millennium Premier New York Times Square is the epitome of contemporary living.",within an hour,0.98 ,1.00 ,f,,10,11,"['email', 'phone']",t,t
1914,Michelle,2014/1/5,"New York, NY",,,0.74 ,0.49 ,f,Union Square,1,1,['phone'],t,t
1915,Signe,2015/5/11,"New York, NY","Work in city doing graphic designer and art direction.. But absolutely love living on the brooklyn side in this neighborhood - not only for the lively streets and beautiful people, but just as much because its so incredible easy to commute where ever you wanna go  - both to the manhattan side and rest of brooklyn!",,0.15 ,0.77 ,f,Williamsburg,1,1,"['email', 'phone', 'work_email']",t,t
1916,J.D. & Stephanie,2013/10/30,"New York, NY","Cool couple in our 30s (Steph) and 40s (JD). Creative professionals: filmmaker/musician and dancer/choreographer. We like to cook and drink wine and read as well. We are stable, responsible, respectful and fun-loving, and also very busy. When we don't work, we are having fun biking, cooking, exploring, traveling, eating out, seeing movies, and seeing shows. She works in the hotel industry and knows about taking care of guests. He is from the south where manners are important. Basically, you'll be treated as a good friend here and we would expect the same!

",,0.92 ,0.00 ,f,Williamsburg,2,3,"['email', 'phone']",t,t
1917,Sy,2013/5/17,"New York, NY","I am a keen traveller. In my spare time, I love hanging out with friends, meeting new people, and seeing independent films. 
I also love traveling. Italy, Cuba and Vietnam are my favorite places so far.
Food is a particular passion and I enjoy trying new dishes. When it comes to food, I definitely believe variety is the spice of life!
I would say I am a considerate guest who cleans up after myself. ",within a day,1.00 ,1.00 ,f,Harlem,1,2,"['email', 'phone']",t,t
1918,Angela,2016/5/23,"New York, NY",,within an hour,1.00 ,0.99 ,t,Rockaway Park,18,23,"['email', 'phone']",t,t
1919,Blueground,2016/12/16,"New York, NY","We鈥檙e Blueground, a global proptech company with several thousand move-in-ready apartments in a growing number of major cities around the world. With flexible terms and homes in vibrant, centrally based neighborhoods, you鈥檒l feel at home and free to roam for as long as you want 鈥?a month, a year, or longer. 

Each apartment is thoughtfully designed with exclusive furnishings, fully equipped kitchens, and incredible amenities 鈥?making every day a five-star experience. From day one, you鈥檒l enjoy high-speed Wi-Fi, premium linens, and smart home entertainment. Plus, access to pools, gyms, and outdoor spaces in select buildings.

Why stress over your apartment? We provide a hassle-free alternative 鈥?a consistent, quality guest experience that starts even before you arrive. Because we let you book our most up-to-date apartment listings online, confirm with a click, pay securely, and check in easily. 

Even better? You can enhance your stay with car rentals, grocery delivery, laundry services, and more through our special partnerships. 

During your stay
Upon arrival, you鈥檒l either be greeted personally by a Blueground team member or given self-check-in instructions. The entire apartment is yours! You鈥檒l enjoy reliable support via email, phone, and our Guest App, where you can request everything from a home cleaning to extra towels. 

We鈥檒l share all details upon confirmation of your stay.",within an hour,1.00 ,0.97 ,f,Cambridge,4022,4338,"['email', 'phone', 'work_email']",t,t
1920,Stat,2015/1/19,"New York, NY","STAT Living was founded to provide housing to medical professionals who need a place to stay, STAT! Providing cozy, chic, and comfortable quarters to dwell for those high stress, fast paced yet fun and fulfilling times on the wards. 

We are easily accessible and respond quickly should any needs arise. ",within a day,1.00 ,0.65 ,t,The Rockaways,69,96,"['email', 'phone']",t,t
1921,Sam,2012/6/21,"New York, United States",Native New Yorker ,within an hour,1.00 ,0.79 ,f,Carroll Gardens,2,2,"['email', 'phone']",t,t
1922,Elise,2015/9/30,"New York, NY",I am a human rights lawyer with a wife and two kids.,within an hour,1.00 ,0.57 ,f,Gowanus,2,2,"['email', 'phone']",t,t
1923,Justin,2015/9/30,"New York, NY","Actor/Real estate professional living in NYC. Super responsible, laid back, and ridiculously clean! I enjoy theatre, eating, and hosting game nights with friends. I make an awesome cheese plate!!",,0.16 ,0.79 ,f,Astoria,1,1,"['email', 'phone']",t,t
1924,Celine,2020/1/24,"New York, NY",,within an hour,1.00 ,0.85 ,f,,5,8,"['email', 'phone']",t,t
1925,Patrick,2014/1/24,"New York, NY",,,0.44 ,0.08 ,f,Kips Bay,1,1,['phone'],t,f
1926,Laura,2016/9/17,"New York, NY","I'm a cool, down to earth person who loves to take care of business, but also enjoys making time for those who matter the most. I enjoy quality time with my other half, movies, trips, restaurants, bars, lounges, events, concerts and an occasional stroll through the park. My husband and I both live on the property with our two year old son and our adorable cat named Ocho, who is super friendly. We love to host and he loves to cook. He's my celebrity chef :-) So, on occasions you may get a little brunch, lunch or dinner surprise :-)

Our motto: Is to live, laugh and love. ",within a day,0.50 ,0.00 ,f,Bedford-Stuyvesant,2,2,"['email', 'phone']",t,t
1927,Adam,2016/9/22,"New York, NY",,,0.18 ,0.70 ,f,Murray Hill,1,1,"['email', 'phone']",t,t
1928,Arkady,2019/3/15,"New York, United States",,within a day,1.00 ,0.80 ,t,Grymes Hill,1,2,"['email', 'phone']",t,t
1929,Akshay,2015/3/17,"New York, NY",,,0.56 ,0.32 ,f,Upper West Side,1,1,"['email', 'phone']",t,t
1930,John,2020/6/24,,,within an hour,1.00 ,0.98 ,t,Ocean Hill,2,4,['phone'],t,t
1931,Mich猫le,2013/2/8,"Brussels, Belgium","Hi, I'm enjoying life in Brussels and I love travelling and meeting people!",within an hour,1.00 ,0.83 ,f,Midtown East,2,2,"['email', 'phone']",t,t
1932,Luba,2011/7/14,"New York, NY",Been here for a while:) love this city! Enjoy meeting new people! Welcome to our home!,within a day,1.00 ,0.71 ,t,,1,5,"['email', 'phone']",t,t
1933,Jenn,2014/6/30,"New York, NY","I'm a working professional from NYC. I love design, travel and innovation. I work in tech- making the internet safer for everyone. I love seeking out cute cafes with character, galleries and museums, all sorts of live music performances, the great outdoors, and food made with love- especially pies (pizza , savory, and sweet) and street food. ",within a day,1.00 ,0.00 ,f,Williamsburg,2,4,"['email', 'phone']",t,t
1934,Joharry,2021/7/8,,,within an hour,1.00 ,0.97 ,f,East Bronx,1,1,['phone'],t,t
1935,Elisa,2013/11/22,"New York, NY",Art Director in digital media. Yoga and meditation teacher. Global nomad - raised and lived in Europe for the most part. ,,0.18 ,0.00 ,f,Clinton Hill,1,2,"['email', 'phone']",t,t
1936,Nicole,2016/11/28,"New York, United States",,within a few hours,0.86 ,0.68 ,f,,1,1,"['email', 'phone']",t,f
1937,Flo And Erin,2015/1/30,"New York, NY",,,0.38 ,0.75 ,f,Fort Greene,1,1,"['email', 'phone']",t,t
1938,Alexis,2018/12/1,"New York, NY","Harlem based entrepreneur with a passion for James Baldwin,  people and life! ",,0.14 ,0.00 ,f,Harlem,2,4,"['email', 'phone']",t,t
1939,Urby Abode,2021/9/20,"Harrison, NJ",,within an hour,1.00 ,0.98 ,f,Downtown Jersey City,6,9,"['email', 'phone']",t,t
1940,Veton,2021/3/6,,,within an hour,1.00 ,1.00 ,t,Prince's Bay,1,1,"['email', 'phone']",t,t
1941, my cleaners have been wiping and sanitizing every surface and being extra thorough to ensure that the apartment is virus free,2017/2/14," ready and """,,https://a0.muscache.com/pictures/miso/Hosting-645216921818778480/original/60198a7a-eda9-4ff4-bcfb-ec0bbdaaf0ea.jpeg,0.66 ,0.89 ,t,Midtown,within an hour,2,99%,f,t
1942,Jen,2016/4/27,"New York, NY",,,0.38 ,0.44 ,f,Hamilton Heights,2,2,"['email', 'phone']",t,t
1943,Gloria Lopez,2020/11/23,"New York, NY","Hola, soy Gloria y estare recibiendote como tu host dandote mi mejor atencion para brindarte una excelente experiencia de Airbnb en New York.

Mi casa esta convenientemente localizada para que te permita movilizarte a donde quieras facil y rapido.",within an hour,0.94 ,0.95 ,f,Flushing,4,5,"['email', 'phone']",t,t
1944,Valentin,2012/8/25,"New York, NY","Im a designer living in Williamsburg, Brooklyn. ",within an hour,0.90 ,0.97 ,f,Williamsburg,2,4,"['email', 'phone', 'work_email']",t,t
1945,T+Y+K+M,2014/7/6,"New York, NY","I am a nurse, my husband is a security guard, and our daughter Kamila is in the cuteness industry, our son Mateo is her apprentice. I was born and raised in Brooklyn, my husband was born and raised in Cuba. Together we are ""Airbnb Natives!"" We book airbnb as guests when we travel; we've stayed at 26 different airbnb homes in 10 US states, and 6 different countries. We've been hosted with our baby as young as one moth old. As hosts, we've had more than 350 guests from over 150 different cities. Our oldest guest was 94 years old and our youngest guest, 9 months old. We have truly enjoyed meeting each and every one of our guests in the past and look forward to meeting you! ",within an hour,1.00 ,1.00 ,f,Flatbush,1,3,"['email', 'phone']",t,t
1946,Joseph & Teresa,2019/1/19,,,within an hour,0.90 ,0.96 ,f,East New York,2,2,"['email', 'phone']",t,f
1947,Aram,2011/10/10,"New York, NY","I'm a 45 year old artist/photographer and social worker, happy to be living in New York City. I  enjoy getting out of the city to clear my head, get inspired and then get back to work. Sometimes a long walk in Central Park does the trick.  Favorite places I have been and would like to return to are many parts of New England, California, Berlin, Southern France, Italy, Costa Rica, and India.  ",,0.07 ,0.63 ,f,Harlem,1,1,"['email', 'phone']",t,t
1948,Aziza,2012/7/24,"New York, NY","Hi :-)

I am a multidisciplinary artist & health nut. I鈥檓 currently based in NY but am definitely a wanderlust and enjoy exploring the world. I鈥檓 a lover of health + nutrition, cooking, interior design, nature & music. 

x

A.",,0.08 ,1.00 ,f,Bedford-Stuyvesant,2,3,"['email', 'phone']",t,t
1949,Stephanie,2012/10/4,"New York, NY",,,0.37 ,0.28 ,f,Crown Heights,2,2,"['phone', 'work_email']",t,t
1950,Roza,2015/2/6,"New York, NY",,,0.11 ,0.27 ,f,West Village,1,2,"['email', 'phone']",t,f
1951,Nina,2020/10/7,"New Jersey, United States",,,0.88 ,0.02 ,f,Southside,1,1,['phone'],t,t
1952,Blueground,2016/12/16,"New York, NY","We鈥檙e Blueground, a global proptech company with several thousand move-in-ready apartments in a growing number of major cities around the world. With flexible terms and homes in vibrant, centrally based neighborhoods, you鈥檒l feel at home and free to roam for as long as you want 鈥?a month, a year, or longer. 

Each apartment is thoughtfully designed with exclusive furnishings, fully equipped kitchens, and incredible amenities 鈥?making every day a five-star experience. From day one, you鈥檒l enjoy high-speed Wi-Fi, premium linens, and smart home entertainment. Plus, access to pools, gyms, and outdoor spaces in select buildings.

Why stress over your apartment? We provide a hassle-free alternative 鈥?a consistent, quality guest experience that starts even before you arrive. Because we let you book our most up-to-date apartment listings online, confirm with a click, pay securely, and check in easily. 

Even better? You can enhance your stay with car rentals, grocery delivery, laundry services, and more through our special partnerships. 

During your stay
Upon arrival, you鈥檒l either be greeted personally by a Blueground team member or given self-check-in instructions. The entire apartment is yours! You鈥檒l enjoy reliable support via email, phone, and our Guest App, where you can request everything from a home cleaning to extra towels. 

We鈥檒l share all details upon confirmation of your stay.",within an hour,1.00 ,0.97 ,f,Cambridge,4022,4338,"['email', 'phone', 'work_email']",t,t
1953,Marc,2013/9/28,"New York, NY",We are a hybrid couple -- I'm American and my wife is Ethiopian-Israeli -- living in Brooklyn since 2011.  You're more than welcome to ask questions!,,0.50 ,0.68 ,f,Bedford-Stuyvesant,1,2,"['email', 'phone', 'work_email']",t,t
1954,Jana,2011/7/8,"New York, NY",I am an artist and designer living in Brooklyn with my 2 kids and husband. We love to travel!,,0.31 ,0.67 ,f,Greenpoint,1,3,"['email', 'phone']",t,f
1955,Eugene,2012/8/11,"New York, NY","my number: (Phone number hidden by Airbnb) , my email: (Email hidden by Airbnb)",within a day,0.96 ,0.05 ,t,Flatbush,290,435,"['email', 'phone']",t,t
