review_id,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
1432,2022/5/17,2022/9/3,4.79 ,4.83 ,4.92 ,4.83 ,4.92 ,4.54 ,4.75 
1433,2021/2/28,2021/11/24,4.67 ,5.00 ,4.67 ,5.00 ,5.00 ,5.00 ,4.67 
1434,2022/8/8,2022/8/14,5.00 ,4.50 ,5.00 ,5.00 ,5.00 ,4.50 ,4.50 
1435,2021/7/24,2022/7/30,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.50 
1436,2022/3/26,2022/9/2,4.80 ,4.82 ,4.90 ,4.92 ,5.00 ,4.76 ,4.88 
1437,2016/12/21,2018/3/22,4.94 ,4.94 ,4.78 ,4.83 ,4.89 ,4.94 ,4.83 
1438,2019/2/7,2019/2/7,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
1439,,,,,,,,,
1440,,,,,,,,,
1441,2017/8/13,2018/5/27,4.75 ,4.75 ,4.50 ,5.00 ,5.00 ,5.00 ,5.00 
1442,,,,,,,,,
1443,,,,,,,,,
1444,2021/11/13,2022/8/31,4.73 ,4.67 ,4.47 ,4.93 ,5.00 ,4.87 ,4.73 
1445,2016/6/30,2018/7/17,5.00 ,5.00 ,4.50 ,5.00 ,5.00 ,5.00 ,4.50 
1446,2017/1/16,2018/11/1,4.50 ,5.00 ,4.50 ,4.50 ,5.00 ,5.00 ,4.50 
1447,2022/2/20,2022/9/3,4.91 ,4.95 ,4.95 ,4.91 ,4.95 ,4.23 ,5.00 
1448,,,,,,,,,
1449,2017/7/18,2017/10/27,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
1450,,,,,,,,,
1451,2016/1/24,2018/9/9,4.67 ,4.92 ,4.83 ,4.92 ,5.00 ,4.33 ,4.50 
1452,2022/6/18,2022/7/30,5.00 ,5.00 ,5.00 ,4.50 ,5.00 ,4.50 ,5.00 
1453,,,,,,,,,
1454,2020/10/10,2022/9/2,4.80 ,4.91 ,4.91 ,4.89 ,4.95 ,4.92 ,4.82 
1455,2021/9/23,2022/8/20,3.88 ,3.88 ,3.75 ,4.13 ,3.38 ,4.50 ,3.63 
1456,2021/8/2,2022/8/19,4.63 ,4.73 ,4.62 ,4.63 ,4.60 ,4.88 ,4.71 
1457,2022/4/21,2022/9/4,5.00 ,4.93 ,4.89 ,5.00 ,5.00 ,4.67 ,4.96 
1458,2017/10/8,2022/5/31,4.86 ,4.71 ,4.79 ,4.93 ,5.00 ,4.93 ,4.64 
1459,2021/4/2,2022/2/28,4.80 ,5.00 ,4.80 ,5.00 ,5.00 ,4.80 ,5.00 
1460,2020/12/13,2022/7/31,4.75 ,4.75 ,4.77 ,4.95 ,4.88 ,4.88 ,4.72 
1461,,,,,,,,,
1462,2016/1/18,2021/10/6,4.66 ,4.80 ,4.44 ,4.91 ,4.89 ,4.94 ,4.65 
1463,,,,,,,,,
1464,2022/3/22,2022/7/24,4.93 ,5.00 ,4.64 ,5.00 ,5.00 ,5.00 ,4.86 
1465,2022/3/31,2022/9/1,5.00 ,5.00 ,4.50 ,5.00 ,5.00 ,5.00 ,5.00 
1466,,,,,,,,,
1467,,,,,,,,,
1468,2022/6/15,2022/8/1,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.50 ,5.00 
1469,2022/7/11,2022/9/5,4.89 ,4.89 ,4.89 ,4.89 ,5.00 ,4.67 ,4.78 
1470,,,,,,,,,
1471,2019/6/13,2021/2/24,3.94 ,4.11 ,4.00 ,4.23 ,4.26 ,3.81 ,4.00 
1472,,,,,,,,,
1473,2015/6/7,2021/12/18,4.81 ,4.85 ,4.57 ,4.93 ,4.96 ,4.96 ,4.80 
1474,2022/7/1,2022/8/26,4.57 ,4.50 ,4.14 ,4.79 ,4.93 ,4.79 ,4.71 
1475,2018/12/1,2022/8/6,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.90 
1476,,,,,,,,,
1477,2018/9/3,2022/8/27,4.94 ,4.96 ,4.93 ,4.94 ,4.99 ,4.84 ,4.92 
1478,2021/8/4,2022/1/23,4.00 ,4.67 ,4.33 ,5.00 ,4.00 ,4.67 ,3.33 
1479,,,,,,,,,
1480,2022/8/7,2022/8/28,3.60 ,3.40 ,3.80 ,4.20 ,4.00 ,4.00 ,3.60 
1481,2022/7/23,2022/8/28,5.00 ,5.00 ,5.00 ,4.75 ,4.75 ,5.00 ,5.00 
1482,2019/6/20,2020/2/22,4.45 ,4.55 ,4.66 ,4.90 ,4.79 ,5.00 ,4.45 
1483,2022/2/27,2022/3/27,3.50 ,3.75 ,3.25 ,3.75 ,3.75 ,4.00 ,3.25 
1484,2016/5/21,2022/8/17,4.74 ,4.72 ,4.70 ,4.85 ,4.83 ,4.44 ,4.69 
1485,2019/8/25,2019/10/23,4.29 ,4.57 ,4.00 ,4.86 ,5.00 ,5.00 ,4.57 
1486,2022/5/16,2022/8/7,5.00 ,5.00 ,4.50 ,5.00 ,5.00 ,5.00 ,5.00 
1487,2022/5/9,2022/6/5,5.00 ,4.83 ,4.83 ,5.00 ,5.00 ,4.67 ,4.67 
1488,2016/5/24,2016/5/26,4.00 ,4.50 ,4.50 ,5.00 ,5.00 ,5.00 ,4.00 
1489,,,,,,,,,
1490,2022/8/26,2022/8/31,3.00 ,2.50 ,2.50 ,3.00 ,3.00 ,3.00 ,2.50 
1491,2016/7/19,2018/10/30,4.41 ,4.41 ,4.67 ,4.56 ,4.74 ,4.41 ,4.59 
1492,2018/6/10,2022/9/3,4.89 ,4.94 ,4.90 ,4.94 ,4.96 ,4.86 ,4.86 
1493,2021/6/7,2022/5/8,4.69 ,4.77 ,4.75 ,4.75 ,4.56 ,4.73 ,4.79 
1494,2021/5/31,2022/3/27,5.00 ,5.00 ,5.00 ,4.80 ,5.00 ,5.00 ,5.00 
1495,2018/9/29,2022/3/28,4.86 ,4.86 ,5.00 ,4.89 ,4.86 ,4.61 ,4.86 
1496,2022/5/19,2022/7/30,5.00 ,4.00 ,4.50 ,4.00 ,4.50 ,5.00 ,3.50 
1497,2018/3/18,2018/5/29,5.00 ,5.00 ,4.00 ,5.00 ,5.00 ,5.00 ,5.00 
1498,2019/11/24,2020/2/10,4.71 ,5.00 ,4.57 ,5.00 ,5.00 ,5.00 ,4.86 
1499,2018/12/9,2022/9/6,4.96 ,4.99 ,4.90 ,4.99 ,5.00 ,4.94 ,4.90 
1500,2022/7/24,2022/7/24,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
1501,,,,,,,,,
1502,2017/9/24,2020/2/16,5.00 ,5.00 ,4.91 ,4.96 ,5.00 ,5.00 ,5.00 
1503,2022/2/20,2022/9/2,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.95 ,5.00 
1504,,,,,,,,,
1505,2019/3/24,2022/8/28,4.63 ,4.73 ,4.65 ,4.69 ,4.72 ,4.95 ,4.68 
1506,,,,,,,,,
1507,2015/11/11,2015/11/11,0.00 ,,,,,,
1508,2014/6/11,2022/8/30,4.75 ,4.88 ,4.91 ,4.86 ,4.84 ,4.87 ,4.72 
1509,,,,,,,,,
1510,,,,,,,,,
1511,2015/12/1,2017/12/6,4.00 ,4.00 ,3.50 ,4.50 ,4.50 ,4.50 ,4.00 
1512,2017/10/13,2017/12/18,0.00 ,,,,,,
1513,2015/8/20,2015/8/20,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.00 ,5.00 
1514,2022/9/8,13,0.00 ,0.00 ,43626.00 ,43833.00 ,4.62 ,4.69 ,4.46 
1515,2018/8/27,2022/8/29,4.90 ,4.90 ,4.96 ,4.95 ,4.99 ,4.68 ,4.86 
1516,,,,,,,,,
1517,2016/11/13,2022/2/14,4.89 ,4.90 ,4.92 ,4.98 ,4.96 ,4.75 ,4.84 
1518,2022/4/10,2022/5/29,4.80 ,4.80 ,5.00 ,5.00 ,5.00 ,5.00 ,4.60 
1519,2022/7/22,2022/7/22,1.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,1.00 
1520,2019/6/18,2020/7/24,4.95 ,5.00 ,4.89 ,4.95 ,5.00 ,4.84 ,5.00 
1521,2019/10/6,2022/9/1,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.94 
1522,2022/4/10,2022/6/5,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
1523,2022/1/22,2022/8/1,4.29 ,4.29 ,4.08 ,3.92 ,4.04 ,4.83 ,4.25 
1524,,,,,,,,,
1525,,,,,,,,,
1526,2021/9/1,2022/8/11,5.00 ,5.00 ,4.33 ,5.00 ,5.00 ,5.00 ,4.83 
1527,,,,,,,,,
1528,2015/7/28,2019/8/26,4.83 ,4.86 ,4.65 ,4.91 ,4.92 ,4.95 ,4.78 
1529,2021/4/4,2022/8/12,3.88 ,4.06 ,3.38 ,4.63 ,4.44 ,4.88 ,3.88 
1530,2011/6/14,2019/2/15,4.51 ,4.72 ,4.14 ,4.86 ,4.83 ,4.97 ,4.71 
1531,2019/9/21,2020/1/3,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
1532,,,,,,,,,
1533,2013/5/12,2022/8/24,4.76 ,4.82 ,4.89 ,4.81 ,4.87 ,4.32 ,4.71 
1534,,,,,,,,,
1535,,,,,,,,,
1536,2022/6/15,2022/6/15,1.00 ,1.00 ,5.00 ,1.00 ,2.00 ,3.00 ,1.00 
1537,2022/2/23,2022/2/23,5.00 ,5.00 ,2.00 ,5.00 ,3.00 ,5.00 ,2.00 
1538,2020/9/17,2022/8/24,4.82 ,4.71 ,4.79 ,4.85 ,4.88 ,4.59 ,4.77 
1539,2021/3/2,2022/9/1,4.78 ,4.79 ,4.73 ,4.87 ,4.85 ,4.83 ,4.80 
1540,,,,,,,,,
1541,2021/2/13,2022/8/16,4.53 ,4.78 ,4.25 ,4.81 ,4.75 ,4.58 ,4.72 
1542,,,,,,,,,
1543,2015/5/14,2020/11/3,4.83 ,4.90 ,4.85 ,4.87 ,4.82 ,4.59 ,4.83 
1544,2019/5/20,2022/5/12,4.40 ,4.60 ,3.80 ,4.60 ,4.60 ,4.80 ,4.60 
1545,,,,,,,,,
1546,2016/9/5,2018/8/3,5.00 ,5.00 ,4.50 ,5.00 ,5.00 ,5.00 ,5.00 
1547,,,,,,,,,
1548,2017/2/18,2021/1/1,4.00 ,4.50 ,3.00 ,5.00 ,5.00 ,4.20 ,4.00 
1549,2015/1/4,2015/8/7,4.50 ,5.00 ,4.00 ,5.00 ,5.00 ,4.00 ,5.00 
1550,2016/8/19,2022/8/27,4.67 ,4.73 ,4.72 ,4.69 ,4.78 ,4.81 ,4.51 
1551,2014/10/30,2022/8/19,4.66 ,4.78 ,4.80 ,4.82 ,4.79 ,4.46 ,4.61 
1552,,,,,,,,,
1553,2022/7/16,2022/8/25,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
1554,2022/5/29,2022/9/4,4.80 ,4.73 ,4.87 ,4.93 ,4.93 ,5.00 ,4.93 
1555,2021/11/20,2022/8/20,4.87 ,4.94 ,4.97 ,4.74 ,4.74 ,4.29 ,4.81 
1556,2019/12/28,2022/8/30,4.71 ,4.86 ,4.75 ,4.93 ,4.88 ,4.92 ,4.74 
1557,2022/8/7,2022/8/8,4.00 ,3.50 ,3.50 ,4.50 ,3.00 ,4.00 ,5.00 
1558,2017/3/4,2022/8/21,4.98 ,4.99 ,4.98 ,4.99 ,4.99 ,4.86 ,4.91 
1559,2021/10/4,2022/7/8,4.90 ,5.00 ,4.90 ,5.00 ,5.00 ,5.00 ,4.80 
1560,2018/6/16,2022/7/13,5.00 ,5.00 ,4.75 ,4.75 ,5.00 ,5.00 ,5.00 
1561,2021/5/18,2022/8/26,5.00 ,5.00 ,4.67 ,5.00 ,5.00 ,4.83 ,4.67 
1562,2019/10/14,2022/1/24,4.61 ,4.72 ,4.67 ,4.78 ,4.67 ,4.72 ,4.56 
1563,,,,,,,,,
1564,2019/1/1,2019/1/1,5.00 ,5.00 ,4.00 ,5.00 ,5.00 ,5.00 ,5.00 
1565,2019/9/7,2020/3/16,4.50 ,4.50 ,4.50 ,4.50 ,5.00 ,5.00 ,5.00 
1566,2019/2/1,2019/2/1,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
1567,2021/1/2,2021/1/31,5.00 ,5.00 ,4.50 ,5.00 ,5.00 ,5.00 ,4.50 
1568,,,,,,,,,
1569,2021/7/24,2022/8/19,4.96 ,4.99 ,4.99 ,4.99 ,4.98 ,4.90 ,4.93 
1570,2016/7/5,2022/9/1,4.58 ,4.75 ,4.60 ,4.80 ,4.71 ,4.61 ,4.56 
1571,2012/10/4,2018/6/24,5.00 ,5.00 ,5.00 ,4.94 ,4.94 ,5.00 ,5.00 
1572,2020/11/15,2022/8/21,4.76 ,4.80 ,4.80 ,4.86 ,4.90 ,4.90 ,4.80 
1573,2021/11/28,2021/11/28,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
1574,2018/6/10,2020/1/1,5.00 ,5.00 ,4.83 ,5.00 ,5.00 ,5.00 ,4.50 
1575,2019/8/14,2020/4/5,4.50 ,4.30 ,4.45 ,4.95 ,4.70 ,4.75 ,4.60 
1576,2015/10/11,2016/8/10,4.82 ,4.88 ,4.76 ,5.00 ,5.00 ,4.94 ,4.88 
1577,2021/8/30,2022/4/24,4.43 ,4.57 ,4.57 ,4.57 ,4.64 ,4.64 ,4.57 
1578,2018/6/10,2018/10/22,4.85 ,4.95 ,4.90 ,4.90 ,4.90 ,4.55 ,4.90 
1579,,,,,,,,,
1580,2017/6/21,2017/6/21,0.00 ,,,,,,
1581,,,,,,,,,
1582,2016/9/4,2016/9/4,4.00 ,5.00 ,3.00 ,5.00 ,5.00 ,4.00 ,3.00 
1583,2021/6/18,2022/9/6,4.60 ,4.88 ,4.85 ,4.89 ,4.70 ,4.73 ,4.66 
1584,2022/7/9,2022/8/21,5.00 ,4.83 ,5.00 ,5.00 ,5.00 ,5.00 ,4.83 
1585,2022/1/4,2022/1/4,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.00 ,5.00 
1586,2016/7/13,2022/8/22,4.67 ,4.70 ,4.77 ,4.93 ,4.43 ,4.66 ,4.79 
1587,2013/5/21,2016/8/23,4.60 ,4.50 ,4.50 ,4.60 ,4.60 ,4.90 ,4.30 
1588,2021/10/3,2022/8/20,4.96 ,4.93 ,4.89 ,5.00 ,5.00 ,5.00 ,4.74 
1589,2020/11/5,2022/8/29,4.71 ,4.75 ,4.76 ,4.75 ,4.73 ,4.81 ,4.71 
1590,2019/8/20,2020/7/22,4.54 ,4.50 ,4.63 ,4.71 ,4.75 ,4.71 ,4.46 
1591,2022/5/19,2022/9/4,4.62 ,4.83 ,4.48 ,4.83 ,4.93 ,4.76 ,4.62 
1592,2022/7/25,2022/7/25,3.00 ,4.00 ,4.00 ,4.00 ,1.00 ,3.00 ,2.00 
1593,2019/5/4,2020/2/9,5.00 ,5.00 ,4.70 ,4.80 ,5.00 ,5.00 ,4.90 
1594,2018/10/20,2019/7/25,4.31 ,4.85 ,4.15 ,4.77 ,4.85 ,4.54 ,4.46 
1595,2019/10/20,2019/10/20,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
1596,2022/3/12,2022/9/5,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.89 
1597,2017/4/17,2017/10/2,4.38 ,4.69 ,3.85 ,4.92 ,4.77 ,4.67 ,4.50 
1598,2022/8/12,2022/8/12,5.00 ,5.00 ,5.00 ,3.00 ,4.00 ,4.00 ,5.00 
1599,2017/5/28,2022/8/31,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.67 ,5.00 
1600,2019/8/17,2020/2/13,4.93 ,4.87 ,4.60 ,4.80 ,4.93 ,5.00 ,4.87 
1601,,,,,,,,,
1602,,,,,,,,,
1603,2018/9/4,2020/1/11,4.70 ,4.70 ,4.73 ,4.95 ,4.68 ,4.80 ,4.64 
1604,,,,,,,,,
1605,2022/8/1,2022/8/1,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
1606,2018/3/11,2019/1/1,4.87 ,5.00 ,5.00 ,4.96 ,4.96 ,4.96 ,4.83 
1607,2020/3/21,2021/8/14,5.00 ,4.50 ,5.00 ,5.00 ,5.00 ,4.50 ,5.00 
1608,2018/1/1,2022/5/22,4.86 ,4.93 ,4.71 ,4.86 ,5.00 ,4.93 ,4.93 
1609,2017/10/1,2022/8/20,4.62 ,4.74 ,4.85 ,4.78 ,4.86 ,4.68 ,4.65 
1610,2021/4/4,2021/9/26,5.00 ,4.93 ,4.86 ,4.93 ,5.00 ,5.00 ,5.00 
1611,,,,,,,,,
1612,2021/5/31,2022/3/30,4.45 ,4.50 ,4.82 ,4.45 ,4.64 ,4.18 ,4.59 
1613,,,,,,,,,
1614,2022/4/15,2022/9/1,4.89 ,4.95 ,4.84 ,4.95 ,4.95 ,4.74 ,4.89 
1615,,,,,,,,,
1616,,,,,,,,,
1617,2015/1/7,2016/7/16,4.71 ,4.86 ,4.29 ,5.00 ,4.86 ,4.57 ,4.86 
1618,2016/10/30,2016/12/1,3.33 ,4.33 ,4.00 ,4.33 ,4.67 ,4.67 ,4.00 
1619,,,,,,,,,
1620,,,,,,,,,
1621,,,,,,,,,
1622,2020/11/24,2022/1/1,4.00 ,4.22 ,4.11 ,4.22 ,4.44 ,4.67 ,4.11 
1623,2017/9/6,2018/8/11,4.55 ,4.27 ,4.45 ,4.45 ,4.64 ,4.45 ,4.82 
1624,,,,,,,,,
1625,,,,,,,,,
1626,2022/1/3,2022/8/16,5.00 ,5.00 ,4.50 ,5.00 ,5.00 ,4.50 ,4.50 
1627,2022/8/26,2022/9/1,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
1628,2019/12/28,2022/7/25,4.59 ,4.70 ,4.43 ,4.68 ,4.70 ,4.68 ,4.59 
1629,2021/8/29,2021/9/27,5.00 ,4.67 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
1630,2017/12/29,2018/5/24,5.00 ,4.88 ,4.88 ,5.00 ,5.00 ,4.75 ,4.88 
1631,2021/1/12,2022/8/21,4.40 ,5.00 ,4.40 ,5.00 ,5.00 ,5.00 ,4.80 
1632,,,,,,,,,
1633,2021/12/12,2022/8/22,4.86 ,4.93 ,4.79 ,5.00 ,4.93 ,5.00 ,4.64 
1634,2021/8/26,2022/5/22,4.65 ,4.65 ,4.81 ,5.00 ,4.92 ,4.76 ,4.59 
1635,,,,,,,,,
1636,2022/3/15,2022/9/3,4.46 ,4.57 ,4.64 ,4.61 ,4.50 ,4.46 ,4.46 
1637,2018/7/30,2019/5/27,4.78 ,5.00 ,5.00 ,4.78 ,5.00 ,4.78 ,4.78 
1638,2022/7/24,2022/9/3,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.75 ,5.00 
1639,2018/2/26,2022/8/23,4.94 ,4.93 ,4.91 ,5.00 ,5.00 ,4.88 ,4.91 
1640,2022/1/10,2022/9/3,4.75 ,4.75 ,4.75 ,4.63 ,4.78 ,4.69 ,4.75 
1641,,,,,,,,,
1642,2020/2/16,2020/3/7,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.25 
1643,2013/6/20,2022/8/15,4.62 ,4.81 ,4.67 ,4.95 ,4.86 ,4.48 ,4.71 
1644,,,,,,,,,
1645,,,,,,,,,
1646,2020/5/15,2022/4/14,4.83 ,4.81 ,4.82 ,4.91 ,4.94 ,4.75 ,4.76 
1647,2021/5/9,2022/8/14,4.74 ,4.88 ,4.95 ,4.74 ,4.69 ,4.81 ,4.62 
1648,2019/7/5,2022/8/28,4.79 ,4.84 ,4.69 ,4.84 ,4.75 ,4.74 ,4.72 
1649,2016/1/14,2022/8/27,4.86 ,4.93 ,4.92 ,4.97 ,4.92 ,4.61 ,4.85 
1650,2020/2/24,2022/5/30,5.00 ,4.78 ,4.56 ,4.89 ,5.00 ,4.56 ,4.78 
1651,2019/4/9,2022/7/2,4.97 ,5.00 ,4.90 ,4.93 ,5.00 ,4.97 ,4.90 
1652,2019/8/28,2022/8/13,4.67 ,4.71 ,4.25 ,4.96 ,4.79 ,4.67 ,4.75 
1653,,,,,,,,,
1654,,,,,,,,,
1655,2020/10/31,2020/12/31,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
1656,2022/5/1,2022/5/1,5.00 ,5.00 ,5.00 ,5.00 ,4.00 ,4.00 ,5.00 
1657,,,,,,,,,
1658,2022/1/25,2022/8/4,4.60 ,4.80 ,5.00 ,4.80 ,4.80 ,4.60 ,4.80 
1659,2017/11/25,2022/8/22,4.80 ,4.90 ,4.88 ,4.95 ,4.92 ,4.59 ,4.77 
1660,2017/7/18,2017/7/18,0.00 ,,,,,,
1661,2016/5/1,2020/1/8,4.40 ,5.00 ,3.80 ,5.00 ,5.00 ,5.00 ,4.60 
1662,,,,,,,,,
1663,2018/12/23,2022/4/30,4.84 ,4.88 ,4.96 ,4.96 ,4.95 ,4.81 ,4.68 
1664,2019/7/25,2022/9/2,4.49 ,4.70 ,4.66 ,4.68 ,4.74 ,4.83 ,4.45 
1665,2021/3/21,2022/4/17,4.44 ,4.56 ,4.78 ,4.89 ,4.33 ,4.67 ,4.22 
1666,,,,,,,,,
1667,,,,,,,,,
1668,2021/10/3,2022/7/30,4.80 ,5.00 ,4.60 ,5.00 ,5.00 ,4.60 ,4.60 
1669,2021/1/4,2022/8/20,4.45 ,4.55 ,4.54 ,4.77 ,4.57 ,4.78 ,4.48 
1670,2022/7/11,2022/8/27,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
1671,,,,,,,,,
1672,2017/5/8,2018/10/8,4.80 ,5.00 ,4.60 ,5.00 ,5.00 ,5.00 ,5.00 
1673,2016/4/16,2020/2/12,4.50 ,4.49 ,4.38 ,4.69 ,4.60 ,4.93 ,4.29 
1674,2017/4/14,2022/8/25,4.88 ,4.82 ,4.88 ,4.91 ,5.00 ,4.91 ,4.76 
1675,2021/11/21,2021/11/21,1.00 ,1.00 ,5.00 ,1.00 ,1.00 ,3.00 ,1.00 
1676,2021/11/20,2022/5/23,4.20 ,4.00 ,3.80 ,4.20 ,4.40 ,4.40 ,3.60 
1677,2021/8/22,2022/8/13,4.20 ,4.20 ,4.40 ,5.00 ,4.60 ,4.00 ,4.20 
1678,2015/8/1,2015/9/21,4.50 ,4.50 ,4.50 ,5.00 ,5.00 ,5.00 ,4.50 
1679,2021/10/14,2021/10/14,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
1680,,,,,,,,,
1681,2020/1/10,2022/8/23,4.41 ,4.36 ,4.21 ,4.77 ,4.54 ,4.59 ,4.46 
1682,2022/8/9,2022/9/6,5.00 ,4.75 ,5.00 ,5.00 ,5.00 ,4.50 ,5.00 
1683,2015/1/4,2016/10/3,4.86 ,4.71 ,5.00 ,5.00 ,4.57 ,4.86 ,4.86 
1684,2021/8/14,2022/6/18,5.00 ,5.00 ,4.67 ,4.67 ,5.00 ,4.67 ,5.00 
1685,2019/9/15,2021/8/1,4.67 ,4.80 ,4.70 ,4.90 ,4.97 ,4.83 ,4.70 
1686,,,,,,,,,
1687,2021/12/2,2022/6/26,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.89 
1688,2022/4/4,2022/8/26,4.56 ,4.75 ,4.75 ,4.56 ,4.56 ,4.06 ,4.38 
1689,,,,,,,,,
1690,2021/12/14,2022/8/9,4.50 ,4.64 ,3.86 ,4.79 ,4.86 ,4.71 ,4.64 
1691,2022/8/13,2022/8/13,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
1692,185,1,0.00 ,42242.00 ,44709.00 ,4.77 ,4.79 ,4.68 ,4.91 
1693,2021/11/24,2022/9/1,4.71 ,4.64 ,4.36 ,4.86 ,4.93 ,4.93 ,4.79 
1694,,,,,,,,,
1695,2016/1/2,2022/6/6,4.86 ,4.97 ,4.83 ,5.00 ,5.00 ,4.86 ,4.90 
1696,2021/7/6,2022/8/22,4.79 ,4.79 ,4.62 ,4.89 ,4.96 ,4.98 ,4.79 
1697,2019/11/1,2021/7/12,4.69 ,4.54 ,4.85 ,4.92 ,4.85 ,4.69 ,4.62 
1698,2012/8/29,2018/12/30,4.67 ,4.85 ,4.35 ,4.85 ,4.80 ,4.80 ,4.65 
1699,2017/5/3,2021/6/25,4.65 ,4.72 ,4.88 ,4.63 ,4.78 ,4.95 ,4.72 
1700,2019/7/7,2020/7/18,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.78 
1701,2022/8/26,2022/8/26,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
1702,2022/4/26,2022/5/9,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
1703,2021/10/4,2021/10/4,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
1704,,,,,,,,,
1705,2022/4/3,2022/8/22,4.73 ,4.77 ,4.27 ,4.85 ,4.88 ,4.69 ,4.85 
1706,,,,,,,,,
1707,2021/11/28,2022/9/5,4.96 ,4.87 ,4.85 ,4.94 ,4.96 ,4.72 ,4.83 
1708,2021/12/25,2022/7/31,4.25 ,4.38 ,3.50 ,4.13 ,4.00 ,4.75 ,4.13 
1709,2020/1/15,2022/9/3,4.92 ,4.90 ,4.90 ,4.97 ,4.97 ,4.96 ,4.87 
1710,2019/7/27,2022/7/31,4.33 ,3.67 ,4.67 ,4.33 ,4.67 ,5.00 ,4.00 
1711,2022/2/4,2022/2/4,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
1712,2021/3/26,2022/7/17,4.88 ,4.88 ,4.63 ,4.88 ,5.00 ,4.88 ,4.75 
1713,,,,,,,,,
1714,2021/10/30,2021/10/30,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
1715,2022/6/12,2022/7/31,4.80 ,4.80 ,4.80 ,5.00 ,5.00 ,4.80 ,4.60 
1716,,,,,,,,,
1717,2017/6/30,2021/12/21,5.00 ,5.00 ,4.93 ,5.00 ,4.93 ,4.93 ,4.93 
1718,2022/8/1,2022/8/1,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
1719,2022/8/18,2022/8/31,4.67 ,4.67 ,4.67 ,5.00 ,5.00 ,5.00 ,5.00 
1720,,,,,,,,,
1721,2018/3/17,2018/8/19,4.92 ,5.00 ,4.96 ,4.96 ,4.92 ,4.96 ,4.96 
1722,,,,,,,,,
1723,2014/4/22,2022/8/28,4.66 ,4.77 ,4.82 ,4.86 ,4.80 ,4.35 ,4.77 
1724,2017/11/5,2018/1/21,4.27 ,4.45 ,4.27 ,5.00 ,4.73 ,4.91 ,4.64 
1725,,,,,,,,,
1726,2022/5/31,2022/9/2,4.91 ,5.00 ,4.81 ,5.00 ,4.97 ,4.94 ,4.94 
1727,2022/7/9,2022/9/3,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.75 ,5.00 
1728,2009/11/21,2022/6/21,4.68 ,4.73 ,4.63 ,4.77 ,4.80 ,4.81 ,4.40 
1729,,,,,,,,,
1730,2012/5/15,2022/8/28,4.84 ,4.86 ,4.87 ,4.90 ,4.89 ,4.74 ,4.73 
1731,2019/12/9,2020/1/8,5.00 ,5.00 ,4.33 ,5.00 ,5.00 ,5.00 ,4.33 
1732,,,,,,,,,
