id,name,neighbourhood,building,street,zipcode,phone
1047,GRAND MORELOS DINER & BAKERY,BROOKLYN,727,GRAND STREET,11211,7182189441
1048,KINGS MEN,BROOKLYN,255,MALCOLM X BOULEVARD,11233,7189196611
1049,PROSPECT,BROOKLYN,773,FULTON STREET,11217,7185966826
1050,SELENA ROSA MEXICANA,MANHATTAN,1712,2ND AVE,10128,2127224242
1051,ASIAN BAY CHINESE FOOD,BROOKLYN,1741,SHEEPSHEAD BAY RD,11235,7183681988
1052,A VOCE,MANHATTAN,41,MADISON AVENUE,10010,2125458555
1053,CHINA PAVILION,BROOKLYN,302,TROY AVE,11213,7182218888
1054,SKY ROOM,MANHATTAN,330,WEST   40 STREET,10018,2123801195
1055,MAMAJUANA CAFE / FIESTA CLUB,QUEENS,3315,56 STREET,11377,7185656454
1056,JONGRO BBQ,QUEENS,15514,ROOSEVELT AVE,11354,7189399330
1057,SUMMERS,BROOKLYN,155,SOUTH 4TH ST.,11211,3479873558
1058,LEO'S PIZZA,BROOKLYN,2726,MERMAID AVE,11224,7189965575
1059,TURQUOISE KOSHER FISH RESTAURANT,QUEENS,18923,UNION TURNPIKE,11366,7187767775
1060,STAND 421,QUEENS,126,ROOSEVELT AVENUE,11368,7185958100
1061,JALAPENO DELI,MANHATTAN,1629,LEXINGTON AVENUE,10029,2128282803
1062,PIZZA PLUS,BROOKLYN,1895,CONEY ISLAND AVE,11230,7183774992
1063,SUPERIOR CAFE,MANHATTAN,1490,MADISON AVE,10029,6466660095
1064,FRESKO,QUEENS,3119,30TH AVE,11102,7182788250
1065,CHECKERS,BROOKLYN,43,EMPIRE BLVD,11225,3475357788
1066,OLD TOWN BAR & RESTAURANT,MANHATTAN,45,EAST   18 STREET,10003,2125296732
1067,PALADARES BAKERY & RESTAURANT,QUEENS,4107,NATIONAL STREET,11368,3477384205
1068,SUGAR FREAK,QUEENS,3618,30 AVENUE,11103,7187265850
1069,SOUTH JAMAICA PORTUGUESE SPORTING CLUB,QUEENS,9523,SUTPHIN BOULEVARD,11435,7182973343
1070,NEW GREEN DRAGON,BRONX,4111,E TREMONT AVE,10465,7185973600
1071,BIG BOYS PIZZERIA,STATEN ISLAND,572,MIDLAND AVE,10306,7183519333
1072,MOJAVE,QUEENS,2236,31 STREET,11105,7185454100
1073,PAX,MANHATTAN,202,E 42ND ST,10017,2129725600
1074,MAGUIRE'S PUBLIC HOUSE,QUEENS,5422,ROOSEVELT AVENUE,11377,7184299426
1075,EL DESPERTAR MARLENE,BRONX,849,PROSPECT AVENUE,10459,7188930324
1076,MANHATANVILLE COFFEE,MANHATTAN,142,EDGECOMBE AVE,10030,7189540954
1077,THE HANDPULLED NOODLE,MANHATTAN,3600,BROADWAY,10031,9172620213
1078,Grotto Restaurant,BROOKLYN,8901,3RD AVE,11209,7189219100
1079,PROMDI,QUEENS,6916,ROOSEVELT AVE,11377,7184241190
1080,MADE IN MEXICO,MANHATTAN,3950,10TH AVE,10034,6467264849
1081,SPICY SEAFOOD,QUEENS,13620,ROOSEVELT AVE,11354,7182869999
1082,SILVANA,MANHATTAN,300,WEST 116TH STREET,10026,6466924935
1083,MAMASITA BAR,MANHATTAN,818,10 AVE,10019,2123159444
1084,SILO CAFE,MANHATTAN,31,EAST   32 STREET,10016,2125320639
1085,FITZGERALD'S PUB,MANHATTAN,336,THIRD AVENUE,10010,2126796931
1086,CAMARADAS EL BARRIO,MANHATTAN,2241,1 AVENUE,10029,2123482703
1087,JANE MOTORCYCLE,BROOKLYN,396,WYTHE AVE,11249,3478449075
1088,PLAZA CAFE,QUEENS,11833,QUEENS BLVD,11375,6466628654
1089,PREGAME BAR,QUEENS,17823,HILLSIDE AVE,11432,3475673310
1090,DOUBLE DUTCH ESPRESSO,MANHATTAN,2194,FREDRICK DOUGLAS BLVD,10026,9179519215
1091,CHIQUITA'S RESTAURANT,QUEENS,6059,MYRTLE AVENUE,11385,7183860500
1092,POST BILLIARDS CAFE,MANHATTAN,154,POST AVENUE,10034,2125691840
1093,PICO DE GALLO,QUEENS,8212,ROOSEVELT AVENUE,11372,7186390808
1094,FUNNY B.B.Q. BAR,BROOKLYN,818,54 STREET,11220,7186336868
1095,KELLY'S,MANHATTAN,12,AVENUE A,10009,2123881464
1096,NEW HO WAH CHINESE FOOD,QUEENS,195-19,JAMAICA AVE,11423,7182170998
1097,BASSANOVA RAMEN,MANHATTAN,76,MOTT ST,10013,2123342100
1098,LORETTA'S PIZZA,BRONX,3276,LAYTON AVENUE,10465,7189315511
1099,BLUE WATER GRILL,MANHATTAN,31,UNION SQUARE WEST,10003,2126759500
1100,JING XIN CHINESE FOOD TAKE OUT,BRONX,359,EAST  138 STREET,10454,7187426138
1101,TACO KING,QUEENS,6405,108 STREET,11375,7188968100
1102,RIMINI PASTRY SHOPPE,BROOKLYN,6822,BAY PARKWAY,11204,7182360644
1103,BROOKLYN  CAFE,BROOKLYN,816,BROADWAY,11206,7183840744
1104,SUBWAY,BRONX,2383,WESTCHESTER AVENUE,10461,3472819510
1105,PACIFIC STANDARD,BROOKLYN,82,4 AVENUE,11217,7188581951
1106,TAQUERIA DE LOS MUERTOS,BROOKLYN,663,WASHINGTON AVENUE,11238,7184840310
1107,ALGONQUIN HOTEL,MANHATTAN,59,WEST   44 STREET,10036,2128406800
1108,SACCO PIZZA,MANHATTAN,819,9 AVENUE,10019,2125827765
1109,LA PIAZZA PIZZERIA & RESTAURANT,STATEN ISLAND,1445,RICHMOND AVENUE,10314,7183700707
1110,THE GREEK,MANHATTAN,458,GREENWICH STREET,10013,6464763941
1111,CUMIN INDIAN RESTAURANT,BRONX,3549,JOHNSON AVENUE,10463,7184322481
1112,CHERCHE MIDI,MANHATTAN,282,BOWERY,10012,2122263179
1113,EL GAUCHITO II,QUEENS,15815,HORACE HARDING EXPRESSWAY,11365,7186614262
1114,NEW STAR COFFEE SHOP & DELI,BRONX,3150,BAINBRIDGE AVENUE,10467,7182311700
1115,ANDY'S CAFETERIA (HPD BUILDING),MANHATTAN,100,GOLD ST,10038,2128636121
1116,LA VILLETTA,MANHATTAN,398,E 52ND ST,10022,2128290003
1117,AMY RUTH'S RESTAURANT,MANHATTAN,113,WEST  116 STREET,10026,2122808779
1118,Y J FRIED FISH,QUEENS,8901,165 STREET,11432,7185261202
1119,LINCOLN FRIED CHICKEN,BRONX,1487,WESTCHESTER AVE,10472,7188609813
1120,LOS TAQUITOS DEL TIO,QUEENS,3215,JUNCTION BLVD,11369,7185051583
1121,LITTLE MUENSTER,MANHATTAN,225,LIBERTY ST,10281,2127860186
1122,LA SULTANA CAFE,MANHATTAN,124,EAST    4 STREET,10003,2122287678
1123,CORNER CAFE,MANHATTAN,2518,BROADWAY,10025,2122801900
1124,THE WREN,MANHATTAN,344,BOWERY,10012,2123880148
1125,18 STARS KITCHEN,BROOKLYN,8515,18TH AVE,11214,7182560218
1126,THE NUAA,MANHATTAN,1122,1 AVENUE,10065,2128882899
1127,CHELSEA DELI AND BAKERY,MANHATTAN,254,8TH AVE,10011,2122438444
1128,LECHONERA & POLLO SABROSO RESTAURANT,BRONX,3326,3 AVENUE,10456,3472714642
1129,KOI,MANHATTAN,40,WEST   40 STREET,10018,2129213330
1130,678 AURORA CATERING,QUEENS,3050,WHITESTONE EXPY,11354,7187015828
1131,PARIS BAGUETTE,MANHATTAN,591,LEXINGTON AVE,10022,2128380404
1132,WAH KING KITCHEN,QUEENS,7915,ATLANTIC AVENUE,11421,7182969002
1133,LOS ANGELES BAKERY,BROOKLYN,729,FLUSHING AVENUE,11206,7187827023
1134,PERSHING SQUARE CAFE,MANHATTAN,90,EAST   42 STREET,10017,2122869600
1135,DEL FRISCO'S GRILLE,MANHATTAN,200,VESEY ST,10281,2127860760
1136,ACUARIO CAFE,MANHATTAN,306,WEST   37 STREET,10018,6465335464
1137,NEW PEKING RESTAURANT,BROOKLYN,837A,FRANKLIN AVE,11225,7187715505
1138,GIUSEPPE PIZZERIA,STATEN ISLAND,4300,AMBOY ROAD,10312,7182278332
1139,JUGOS Y TACOS,QUEENS,7804,WOODSIDE AVENUE,11373,7184262080
1140,CITY SPICE CAFE,MANHATTAN,203,E 26TH ST,10010,9173628845
1141,AMC THEATRES,BRONX,2210,BARTOW AVENUE,10475,7183201659
1142,SWEET CORNER BAKE SHOP,MANHATTAN,535,HUDSON STREET,10014,2122068500
1143,BOMBAY KITCHEN INDIAN CUISINE,BROOKLYN,733,KNICKERBOCKER AVENUE,11221,3479151888
1144,DESMOND'S TAVERN,MANHATTAN,433,PARK AVENUE SOUTH,10016,2126849472
1145,PONTENTIAL VEGETAL (PV HERBS & VITAMINS),BROOKLYN,1358,FLATBUSH AVE,11210,7184216030
1146,SABOR LATINO BAR & GRILL,BRONX,2968,JEROME AVE,10468,7184844436
1147,FU EN RESTAURANT,BROOKLYN,104,MARCUS GARVEY BLVD,11206,7184552721
1148,BANTER,QUEENS,10822,QUEENS BOULEVARD,11375,7182688436
1149,FISH 'N' CHIPS SOUL OF THE SEA,BROOKLYN,3037,AVENUE V,11229,9292938270
1150,MARTHA'S COUNTRY BAKERY,QUEENS,7028,AUSTIN ST,11375,7185440088
1151,MAISON MAY,BROOKLYN,246,DEKALB AVENUE,11205,7187892778
1152,REVIVE (NORTH CONCOURSE) GATE 25,QUEENS,0,JFK INT'L AIRPORT,11430,7186566210
1153,IHOP,BROOKLYN,2101,RALPH AVENUE,11234,7182512262
1154,KEZI 88,BROOKLYN,316,KINGS HWY,11223,3477024213
1155,GOURMET PARK,MANHATTAN,119,EAST   60 STREET,10022,2129358500
1156,FUEL FEVER,STATEN ISLAND,1144,HYLAN BLVD,10305,7184200015
1157,TWO LIZARDS MEXICAN BAR & GRIL,QUEENS,3502,DITMARS BLVD,11105,7187450500
1158,EUREST DINING SERVICE (American Express),MANHATTAN,200,VESEY STREET,10285,2126404416
1159,CHEERS CUT,QUEENS,8655,BROADWAY,11373,7183355888
1160,KAM MAN KITCHEN,BRONX,311,E 204TH ST,10467,7185153642
1161,CHECKERS,BRONX,344,BAYCHESTER AVENUE,10475,7183204764
1162,KIDS 'N' ACTION,BROOKLYN,1149,MCDONALD AVENUE,11230,7183771818
1163,MAXWELL'S BAR & RESTAURANT,MANHATTAN,1325,5TH AVE,10029,6466570993
1164,IVAN RAMEN SLURP SHOP,MANHATTAN,600,11TH AVENUE,10036,2125827942
1165,HASAKI RESTAURANT,MANHATTAN,210,EAST 9 TH STREET,10003,2124733327
1166,ST MARKS KARAOKE,MANHATTAN,6,ST MARKS PLACE,10003,2122286250
1167,CHATIME,MANHATTAN,858,LEXINGTON AVENUE,10065,2129888878
1168,LOS CHILES BAR & RESTAURANT,QUEENS,9607,37TH AVE,11368,7186140690
1169,CHOP'T,MANHATTAN,11,WEST   42 STREET,10036,6468671412
1170,HOLLOW NICKEL,BROOKLYN,494,ATLANTIC AVENUE,11217,3472363417
1171,PINO'S LA FORCHETTA,BROOKLYN,181,7 AVENUE,11215,7189654020
1172,NEW ROMA PIZZA,MANHATTAN,116,DELANCY STREET,10002,2125337900
1173,CJ'S PUB,QUEENS,901,COLLEGE POINT BLVD,11356,7183098880
1174,10TH FLOOR LOUNGE,BROOKLYN,60,FURMAN ST,11201,3476962500
1175,TINA  RESTAURANT,BRONX,2350,WASHINGTON AVE,10458,3475907591
1176,PRETZEL MAKER,BROOKLYN,5100,KINGS PLAZA,11234,7182524281
1177,SEVEN BILLIARDS,QUEENS,3518,150 PLACE,11354,7189391970
1178,BOBBY VAN'S STEAKHOUSE C.P.S,MANHATTAN,40,CENTRAL PARK S,10019,2123694000
1179,JIA XING RESTAURANT,BROOKLYN,430,4TH AVE,11215,7187685555
1180,THE BUTCHER'S DAUGHTER,MANHATTAN,581,HUDSON ST,10014,9173882132
1181,SOHNA PUNJAB INDIAN RESTAURANT,QUEENS,248-03,UNION TPKE,11426,7184709400
1182,PUEBLA RESTAURANT,QUEENS,3922,61ST ST,11377,3477060192
1183,TASTY DELICIOUS WEST INDIAN BAKERY & RESTAURANT,BROOKLYN,9006,AVENUE A,11236,7186760144
1184,CHENNAI GARDEN,MANHATTAN,127,EAST   28 STREET,10016,2126857301
1185,KREUTHER HANDMADE CHOCOLATES,MANHATTAN,43,W 42ND ST,10036,2122575826
1186,BANH MI SAIGON BAKERY,MANHATTAN,198,GRAND STREET,10013,2129411541
1187,NICA TRATTORIA,MANHATTAN,354,EAST   84 STREET,10028,2124725040
1188,SHORE HAVEN DINER,BRONX,622,CASTLE HILL AVE,10473,7188240094
1189,SUSANO'S PIZZERIA & RESTAURANT,QUEENS,679,SENECA AVENUE,11385,7183811717
1190,MAMAGYRO,MANHATTAN,1113,LEXINGTON AVENUE,10075,2122491255
1191,16 HANDLES,MANHATTAN,153,2 AVENUE,10003,2122604414
1192,CLINTON STREET BAKING COMPANY,MANHATTAN,4,CLINTON STREET,10002,6466026263
1193,124 COFFEE SHOP,MANHATTAN,53,E 124TH ST,10035,2124108494
1194,SAN AROY  THAI KITCHEN,QUEENS,2906,23RD AVE,11105,7185458203
1195,NORIKOH,MANHATTAN,10,E 39TH ST,10016,6469186778
1196,FORT SCHULER HOUSE,BRONX,3077,CROSS BRONX EXPRESSWAY,10465,7185974518
1197,MING'S RESTAURANT,MANHATTAN,413415,9 AVENUE,10001,2128681378
1198,COURT SQUARE DINER,QUEENS,4530,23 STREET,11101,7183921222
1199,DUNKIN' DONUTS,QUEENS,239,BEACH   20 STREET,11691,7188680448
1200,BLUESTONE LANE COLLECTIVE CAFE,MANHATTAN,55,GREENWICH AVENUE,10014,6463681988
1201,MAHARAJA PALACE,MANHATTAN,2113,FREDERICK DOUGLASS BLVD,10026,2122228934
1202,809 GRILL & BAR RESTAURANT,MANHATTAN,112,DYCKMAN STREET,10040,2123043800
1203,SWEET LEAF,QUEENS,4615,CENTER BOULEVARD,11109,3475271038
1204,MCDONALD'S,BRONX,1540,WESTCHESTER AVENUE,10472,7188422981
1205,STARBUCKS,MANHATTAN,1500,BROADWAY,10036,2122217515
1206,STARBUCKS,MANHATTAN,322,WEST   57 STREET,10019,2123990714
1207,COLUMBUS RESTAURANT,BROOKLYN,6610,18TH AVE,11204,7182368623
1208,HILLSIDE DOSA HUTT,QUEENS,25815,HILLSIDE AVE,11004,7184144780
1209,FOOD LIN,BROOKLYN,399,5 AVENUE,11215,7187681188
1210,"DELICIAS CUENCANAS BAR-RESTAURANT DELI,",QUEENS,4107,99 STREET,11368,7188995075
1211,ESTRELLITA POBLANA II,BRONX,28192821,WHITE PLAINS ROAD,10467,7186547652
1212,RICH VILLAGE RESTAURANT,BROOKLYN,6009,7 AVENUE,11220,7182388628
1213,FORTUNE COOKIES,BROOKLYN,611,MANHATTAN AVE,11222,7183897103
1214,ALICES,BROOKLYN,434,AVENUE U,11223,7183763125
1215,KHAO KANG,QUEENS,7620,WOODSIDE AVE,11373,7188061807
1216,SANDRO'S LATIN FOOD RESTAURANT,QUEENS,2703,23 AVENUE,11105,7186062323
1217,MULINO,BROOKLYN,133,5 AVENUE,11217,7183989001
1218,LOLITA'S RESTAURANT,BRONX,356,EAST  148 STREET,10455,7182923942
1219,THE PIZZA PUB / AMPERSAND,MANHATTAN,294,3 AVENUE,10010,2124778100
1220,CHECKERS,BRONX,1058,SOUTHERN BOULEVARD,10459,7182209000
1221,VISTA HERMOSA DELI RESTAURANT,BRONX,1201,EVERGREEN AVENUE,10472,7188609674
1222,MCDONALD'S,QUEENS,16605,ROCKAWAY BOULEVARD,11434,7185531500
1223,TAQUERIA JUAREZ RESTAURANT,QUEENS,9109,43RD AVE,11373,7187791301
1224,B-HIVE LOUNGE,BROOKLYN,990,ATLANTIC AVENUE,11238,7186222226
1225,SUSHI K BAR,BROOKLYN,888,BEDFORD AVE,11205,7188715227
1226,FUJI HANA RESTAURANT,BROOKLYN,512,AVENUE U,11223,7183363888
1227,BREAD & BUTTER,MANHATTAN,419,PARK AVE S,10016,2126830444
1228,NUEVA AMBATENITA LA ESQUINA DEL SABOR,QUEENS,3924,108 STREET,11368,7184782215
1229,BENY'S DELICE,BROOKLYN,903,FULTON ST,11238,7186221400
1230,SALT + CHARCOAL,BROOKLYN,171,GRAND STREET,11249,7185993021
1231,YAMI-ICHI,BROOKLYN,206,GARFIELD PL,11215,7184990720
1232,TONYS PIZZERIA,BRONX,51,E KINGSBRIDGE RD,10468,7185630743
1233,DELI & GRILL,BROOKLYN,5001,4 AVENUE,11220,7187650080
1234,ROSEBANK TAVERN,STATEN ISLAND,1258,BAY STREET,10305,7184479423
1235,SUNFLOWER CAFE,BROOKLYN,1223,QUENTIN ROAD,11229,7183361340
1236,KO SUSHI,MANHATTAN,1329,2 AVENUE,10021,2124391678
1237,BONSIGNOUR,MANHATTAN,35,JANE STREET,10014,2122299700
1238,NAGOYA SUSHI,BROOKLYN,1907,KINGS HIGHWAY,11229,7183363688
1239,VIP COFFEE,BROOKLYN,6714,BAY PARKWAY,11204,7188378388
1240,YORK COLLEGE CAFETERIA,QUEENS,9420,GUY R BREWER BOULEVARD,11451,7182622890
1241,SUNSET RIDGE DELI,BROOKLYN,5802,5 AVENUE,11220,7184394494
1242,VESELKA RESTAURANT,MANHATTAN,144,SECOND AVENUE,10003,2122289682
1243,NEW GOLDEN EMPIRE CHINESE RESTAURANT,MANHATTAN,757,SAINT NICHOLAS AVE,10031,2122816518
1244,TONY'S BRICK OVEN,STATEN ISLAND,1140,BAY STREET,10305,7188166516
1245,GULLUOGLU BAKLAVA & CAFE,MANHATTAN,982,2 AVENUE,10022,2128130500
1246,TRACKS RAW BAR & GRILL,MANHATTAN,11,PENN STATION 33RD STREET,10001,2122446350
1247,QUEZADA RESTAURANT,BROOKLYN,1212,FLATBUSH AVENUE,11226,7182820622
1248,YOLI RESTAURANT,MANHATTAN,274,EAST    3 STREET,10009,2124201075
1249,LA CALENITA BAKERY,QUEENS,4006,83RD ST,11373,7182058273
1250,AA JING,MANHATTAN,689,9TH AVE,10036,2122450800
1251,GOLDEN EAGLE RESTAURANT,BRONX,97579,MORRIS PARK AVENUE,10462,7188634028
1252,Z BAR,QUEENS,2612,HOYT AVE S,11102,3476124715
1253,LUGO CAFFE,MANHATTAN,1,PENN PLAZA,10119,2127602700
1254,FREE TIME HANGOUT,BROOKLYN,2170,86 STREET,11214,7182668900
1255,STARBUCKS,BROOKLYN,7419,3 AVENUE,11209,7188363882
1256,RED STAR CHINESE RESTAURANT,MANHATTAN,2525,ADAM CLAYTON POWELL JR BOULEVARD,10039,2122819281
1257,AREO RESTAURANT,BROOKLYN,842484,20 -3RD AVENUE,11209,7182380079
1258,UNDERGROUND PIZZA,MANHATTAN,2,WILLIAM STREET,10004,2124254442
1259,FINANCIER PATISSERIE,MANHATTAN,983,1 AVENUE,10022,2124190100
1260,QUE SABROSURA RESTAURANT,BRONX,48,EAST  183 STREET,10453,7183652200
1261,COLONY CLUB,MANHATTAN,564,PARK AVENUE,10065,2128384200
1262,TANDOOR & CO,QUEENS,9524,QUEENS BOULEVARD,11374,7189976800
1263,KENNEDY FRIED CHICKEN,BRONX,157,DREISER LOOP,10475,7186713636
1264,LOS POLLOS RESTAURANT,QUEENS,4551,46 STREET,11377,7183928141
1265,STARBUCKS,BRONX,1385,METROPOLITAN AVENUE,10462,7183191702
1266,SUBWAY/DONUT CONNECTION,BROOKLYN,3847,NOSTRAND AVENUE,11235,7186481227
1267,LAGUARDIA COURTYARD HOTEL BY MARRIOTT,QUEENS,9010,GRAND CENTRAL PARKWAY,11369,7184464800
1268,BAYSIDE DINER,QUEENS,20707,NORTHERN BOULEVARD,11361,7182290242
1269,SHADES OF GREEN,MANHATTAN,125,EAST   15 STREET,10003,2126741394
1270,NEW PINANG,QUEENS,11110,QUEENS BLVD,11375,7182689135
1271,MARIO'S PIZZERIA,BROOKLYN,224,DEKALB AVENUE,11205,7182609520
1272,NAMASTE INDIAN CUISINE,QUEENS,3115,30 AVENUE,11102,7186262783
1273,FOOD COURT KITCHEN,QUEENS,0,JFK INTERNATIONAL AIRPORT,11430,7186566210
1274,CO BA RESTAURANT,MANHATTAN,110,9TH AVE,10011,2124142700
1275,TUSCANY CAFE,QUEENS,0,JFK AIRPORT,11430,7187511634
1276,KINGS PIZZA,BROOKLYN,916,FULTON STREET,11238,7186387135
1277,ZAGARA WINE BAR,MANHATTAN,216,7TH AVE,10011,6464908801
1278,DAHLIAS FINE MEXICAN CUISINE,MANHATTAN,214,E 9TH ST,10003,2125984321
1279,ANKA GRILL,MANHATTAN,642,LEXINGTON AVE,10022,6466924532
1280,TINA  RESTAURANT,BRONX,2350,WASHINGTON AVE,10458,3475907591
1281,JOE'S SICILIAN BAKERY,QUEENS,21216,48 AVENUE,11364,7182252272
1282,BRISAS EXPRESS RESTAURANT,BRONX,1360,WHITE PLAINS ROAD,10462,3478513500
1283,THREE DECKER RESTAURANT,MANHATTAN,1746,2 AVENUE,10128,2122899936
1284,DIM SUM VIP,MANHATTAN,68,MOTT ST,10013,9178866322
1285,NEW WONG RESTAURANT,MANHATTAN,103,EAST BROADWAY,10002,6468789474
1286,GOOD RESTAURANT,MANHATTAN,89,GREENWICH AVENUE,10014,2126918080
1287,LA BOINA ROJA STEAK HOUSE,QUEENS,8022,37 AVENUE,11372,7184246711
1288,UNTAMED SANDWICHES,MANHATTAN,643,LEXINGTON AVE,10022,6466699397
1289,WA JEAL,MANHATTAN,1588,2 AVENUE,10028,2123963339
1290,FU XING HOUSE,BROOKLYN,3335,FULTON STREET,11208,7182771710
1291,FOTEH'S TANDOORI,BROOKLYN,2650,CONEY ISLAND AVE,11223,7189758787
1292,DINO'S PIZZA & PASTA,QUEENS,3001,BROADWAY,11106,7185454775
1293,JOE'S SHANGHAI RESTAURANT,MANHATTAN,9,PELL STREET,10013,2122338888
1294,STARBUCKS,MANHATTAN,151,WEST   34 STREET,10001,2125647025
1295,La Dinastia Latin-Chinese Cuisine,MANHATTAN,145,W 72ND ST,10023,2123623801
1296,DJERDAN,QUEENS,3404,31 AVENUE,11106,7187212694
1297,THE TAP ROOM,MANHATTAN,1,WEST   54 STREET,10019,2125723420
1298,SUSHIYA JAPANESE RESTAURANT,MANHATTAN,28,WEST   56 STREET,10019,2122475756
1299,TOASTIES,MANHATTAN,148,WEST   49 STREET,10019,2123984900
1300,ROYAL CARIBBEAN BAKERY & RESTAURANT,BRONX,3815,DYRE AVE,10466,7189945544
1301,CHIPOTLE MEXICAN GRILL,MANHATTAN,2,BROADWAY,10004,2123440941
1302,TEXAS CHICKEN & BURGERS,BRONX,21,W BURNSIDE AVE,10453,3474981100
1303,CASSIDY'S ALE HOUSE,QUEENS,7502,31 AVENUE,11370,7184246549
1304,CHIU HONG BAKERY,MANHATTAN,161,MOTT STREET,10013,2129667664
1305,CALIBELLA BAKERY,BROOKLYN,164,WYCKOFF AVENUE,11237,7184973614
1306,HOTEL BPM BROOKLYN,BROOKLYN,139,33RD ST,11232,7183054182
1307,BURMESE BITES,STATEN ISLAND,777,SEAVIEW AVENUE,10305,9175602480
1308,YI MIN RESTAURANT,BROOKLYN,3821,FORT HAMILTON PKWY,11218,7186336723
1309,"DUNKIN' DONUTS, BASKIN ROBBINS",QUEENS,21522,73 AVENUE,11364,7182171599
1310,SMOOCH,BROOKLYN,266,CARLTON AVENUE,11205,7186244075
1311,THE COTTAGE,MANHATTAN,360,AMSTERDAM AVENUE,10024,2125957450
1312,NIGHT OF JOY,BROOKLYN,667,LORIMER STREET,11211,7183888693
1313,CORNER BISTRO,QUEENS,4718,VERNON BOULEVARD,11101,7186066500
1314,PASTORA RESTAURANT PIZZERIA,BRONX,967,E 167TH ST,10459,7188421700
1315,MOMO SUSHI,MANHATTAN,239,PARK AVE S,10003,2126777001
1316,SZE'S GARDEN,QUEENS,201,CYPRESS AVE,11385,7183869741
1317,STARBUCKS,MANHATTAN,151,WEST   34 STREET,10001,2122390342
1318,CONNIE O'S,BROOKLYN,158,NORMAN AVENUE,11222,9175787959
1319,BOMBAY DELI PIZZA & TANDOORI RESTAURANT,MANHATTAN,367,WEST   36 STREET,10018,2125641880
1320,BUSHWICK COFFEE HOUSE & JUICE BAR,QUEENS,1050,WYCKOFF AVE,11385,7184971181
1321,PHO MEKONG,QUEENS,15632,NORTHERN BOULEVARD,11354,7188862070
1322,BICHEIRO'S CAFE,QUEENS,10505,JAMAICA AVENUE,11418,9175006383
1323,YUMMY TACO BROOKLYN,BROOKLYN,3606,CLARENDON ROAD,11203,7182820588
1324,PAPA JOHN'S,BROOKLYN,604,GRAND ST,11211,7182188282
1325,PERCY'S TAVERN,MANHATTAN,210,AVENUE A,10009,2124737770
1326,CREATE,QUEENS,2921,DITMARS BLVD,11105,3477398424
1327,TIMES SQUARE DINER & GRILL,MANHATTAN,807,8TH AVE,10019,2123152400
1328,GENA'S GRILL,MANHATTAN,210,1 AVENUE,10009,2124733700
1329,JADE JOY,BRONX,1642,BRUCKNER BLVD,10473,7189916561
1330,BAY CLUB RESTAURANT,QUEENS,2,BAY CLUB DRIVE,11360,7186315545
1331,PALADAR RESTAURANT,BROOKLYN,2053B,PITKIN AVENUE,11207,7183858080
1332,ISLAND CHATEAU,STATEN ISLAND,900,WEST FINGERBOARD ROAD,10305,7184475882
1333,BRASS MONKEY,MANHATTAN,55,LITTLE WEST 12 STREET,10014,2126756686
1334,LA CABANA JARABACOA RESTAURANT,QUEENS,6513,FRESH POND ROAD,11385,7188215880
1335,SUBWAY,MANHATTAN,321,AMSTERDAM AVE,10023,2123621707
1336,MORELOS DELI & FRUIT,STATEN ISLAND,6,CEBRA AVE,10301,7182732050
1337,SUPER POLLO RESTAURANT,QUEENS,865,WOODWARD AVENUE,11385,7184180808
1338,MCDONALD'S,MANHATTAN,824,3 AVENUE,10022,6469186885
1339,LAS MARGARITAS RESTAURANT,BROOKLYN,7206,3RD AVE,11209,7182383972
1340,ALLERTON DINER,BRONX,772,ALLERTON AVE,10467,7186559044
1341,STROKOS PIZZA DELI,MANHATTAN,888,10 AVENUE,10019,2125816262
1342,THREE SONS PIZZERIA,QUEENS,5729,61 STREET,11378,7183269597
1343,Q'KACHAPA,MANHATTAN,1552,SAINT NICHOLAS AVE,10040,2129282898
1344,PAM REAL THAI 49,MANHATTAN,404,W 49TH ST,10019,2123337500
1345,CLUB A STEAKHOUSE,MANHATTAN,240,EAST   58 STREET,10022,2126884190
1346,CHARLEY'S PHILLY STEAKS,BROOKLYN,5100,KINGS PLAZA,11234,7183383083
1347,NEW CHINATOWN RESTAURANT,MANHATTAN,44878,AVENUE D,10009,2126712408
1348,CHICKEN FESTIVAL,QUEENS,196-17,NORTHERN BLVD,11358,7182240712
1349,MAGIC SOUL FOOD,BROOKLYN,320,MALCOLM X BLVD,11233,3472953247
1350,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,MANHATTAN,121,WEST  125 STREET,10027,2126637451
1351,MABAT,BROOKLYN,1809,EAST    7 STREET,11223,7183393300
1352,CHARLIE'S PLACE & SUSHI,MANHATTAN,1960,MADISON AVE,10035,2124100277
1353,TULSI RESTAURANT,MANHATTAN,211,EAST   46 STREET,10017,2128880820
1354,JOHAL DELI,MANHATTAN,945,COLUMBUS AVE,10025,2122222636
1355,ROBERTO'S,BRONX,603,CRESCENT AVENUE,10458,7187339503
1356,RINCONCITO DOMINICANO,STATEN ISLAND,360,TARGEE ST,10304,7189814304
1357,MAPO TOFU,MANHATTAN,338,LEXINGTON AVENUE,10016,2128678118
1358,SAKURA 6 JAPANESE CUISINE,BROOKLYN,837,MANHATTAN AVENUE,11222,7183497888
1359,CINDERELLAS RESTAURANT,STATEN ISLAND,108,VICTORY BOULEVARD,10301,7182854333
1360,GOLDEN PALACE,STATEN ISLAND,1757,ARTHUR KILL RD,10312,7189669888
